row_type,model,split,absolute_residual_mae,drre,defined_state_actions,stop_relative_pairs,defined_actions_by_action,defined_pairs_by_nonstop_action,mae_evaluable_states,drre_evaluable_states,mask_rule,lambda,evaluable_states,realized_gain,oracle_gain,oracle_gain_denominator,normalized_regret,gain_capture,selected_nonstop_states,predicted_non_STOP_count,defined_prediction_states,missing_prediction_states,predicted_non_STOP_fraction,false_stop_states,false_intervention_states,negative_intervention_states,false_stop_rate,false_intervention_rate,negative_intervention_rate,budget,budget_semantics,eligible_states,analysis_role,supplies_E4,supplies_E5_directly,cap,used,unused,selected_true_positive_states,selected_negative_states,selected_zero_gain_states,selection_sha256
prediction,R1_P,COCO_EXTERNAL,0.013920580142133465,0.0058059912963792995,44414,24415,"{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473,""STOP"":19999}","{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473}",19999,19999,DEFINED_ACTION_CELLS_AND_DEFINED_STOP_RELATIVE_PAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intervention,R1_P,COCO_EXTERNAL,,,,,,,,,,0.0,19996,-0.3137034975611428,11.886041072341227,11.886041072341227,1.0263925974722676,-0.026392597472267673,184,184,19999,1,0.00920046002300115,1029,115,60,0.05146029205841168,0.005751150230046009,0.32608695652173914,,,,,,,,,,,,,
sparse,R1_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.3137034975611428,11.084297709264035,11.084297709264035,,-0.02830161240607564,,,,,,,,,,,,0.01,FORCED_K,19996,PRIMARY,False,False,200,200,0,51,60,89,01d925e71b421979ea5e88dcc2c2cbf5ac39eb58f2422419e06f7ec0df2b69b2
sparse,R1_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.3137034975611428,11.084297709264035,11.084297709264035,,-0.02830161240607564,,,,,,,,,,,,0.01,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,200,184,16,51,60,73,d8e1aa095df7d6f5abadf8c16fdb5da71c15fee0be0baf77b8b29236caa6a57c
sparse,R1_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.3091568571260916,11.647607416545636,11.647607416545636,,-0.026542520370915722,,,,,,,,,,,,0.02,FORCED_K,19996,PRIMARY,False,False,400,400,0,56,63,281,65871e1868322efad10d1d0ff781b2f4b935e0ca86945fa3e31c0321a0d1d496
sparse,R1_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.3137034975611428,11.647607416545636,11.647607416545636,,-0.026932870103049775,,,,,,,,,,,,0.02,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,400,184,216,51,60,73,d8e1aa095df7d6f5abadf8c16fdb5da71c15fee0be0baf77b8b29236caa6a57c
sparse,R1_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.3298001244211242,11.884213250654975,11.884213250654975,,-0.027751111282267503,,,,,,,,,,,,0.05,FORCED_K,19996,PRIMARY,False,False,1000,1000,0,61,74,865,af27a2168e2ab089e6e1f61f29e6552d781b39a03e26a7e1eedcc137d897595f
sparse,R1_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.3137034975611428,11.884213250654975,11.884213250654975,,-0.026396656719691027,,,,,,,,,,,,0.05,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,1000,184,816,51,60,73,d8e1aa095df7d6f5abadf8c16fdb5da71c15fee0be0baf77b8b29236caa6a57c
prediction,RECT_P,COCO_EXTERNAL,0.014167820288439034,0.005898956829440776,44414,24415,"{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473,""STOP"":19999}","{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473}",19999,19999,DEFINED_ACTION_CELLS_AND_DEFINED_STOP_RELATIVE_PAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intervention,RECT_P,COCO_EXTERNAL,,,,,,,,,,0.0,19996,-0.1742405597146374,11.886041072341227,11.886041072341227,1.0146592594333277,-0.014659259433327597,224,224,19999,1,0.0112005600280014,1013,139,66,0.050660132026405284,0.0069513902780556115,0.29464285714285715,,,,,,,,,,,,,
